Designator,Mid X,Mid Y,Rotation,Layer
BT101,114.995,-41.0,180.0,bottom
C101,123.9305,-64.008,0.0,top
C102,95.52,-55.88,0.0,top
C103,81.296,-64.008,0.0,top
C104,95.52,-44.704,0.0,top
C105,81.296,-52.324,0.0,top
C106,95.52,-33.528,0.0,top
C107,81.296,-41.656,0.0,top
D101,106.0603,-49.2175,180.0,top
J101,87.88,-58.08,90.0,top
J102,87.88,-47.03,90.0,top
J103,87.88,-35.98,90.0,top
J104,135.25,-58.15,270.0,top
J105,135.25,-47.15,270.0,top
J106,135.25,-36.15,270.0,top
R101,102.2753,-49.2175,0.0,top
R102,95.52,-60.452,0.0,top
R103,85.36,-64.008,0.0,top
R104,95.52,-48.768,0.0,top
R105,85.328,-52.324,0.0,top
R106,95.52,-38.1,0.0,top
R107,85.36,-41.656,0.0,top
SW102,104.1,-54.912,0.0,top
U101,119.38,-60.6425,180.0,top
